INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | Mar 22, 2019 5:55:28 PM org.apache.catalina.core.StandardContext startInternal
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | SEVERE: One or more Filters failed to start. Full details will be found in the appropriate container log file
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | Mar 22, 2019 5:55:28 PM org.apache.catalina.core.StandardContext startInternal
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | SEVERE: Context [/maintenance] startup failed due to previous errors
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | >>> No SAP licenses found in the system. Trying fallback to hybris license.
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | INFO  [localhost-startStop-7] [TenantStartupNotifier] Using default implementation of TenantStartupNotifier for tenant <<master>>
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | INFO  [localhost-startStop-7] [TenantStartupNotifier] Instantiating de.hybris.platform.core.BlockingTenantStartupNotifier for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | Mar 22, 2019 5:55:28 PM org.apache.catalina.core.StandardContext listenerStart
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | SEVERE: Exception sending context initialized event to listener instance of class [de.hybris.platform.spring.HybrisContextLoaderListener]
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | de.hybris.platform.servicelayer.exceptions.SystemException: Failed to create system shutdown token
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | 	at de.hybris.platform.core.internal.ShutdownTokenFileCreator.writeShutdownTokenFile(ShutdownTokenFileCreator.java:65)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | 	at de.hybris.platform.core.MasterTenant.<init>(MasterTenant.java:98)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | 	at de.hybris.platform.core.Registry.getMasterTenant(Registry.java:872)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | 	at de.hybris.platform.core.Registry.activateMasterTenant(Registry.java:625)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | 	at de.hybris.platform.core.Registry.startup(Registry.java:444)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | 	at de.hybris.platform.core.ClassLoaderUtils.executeWithWebClassLoaderParentIfNeeded(ClassLoaderUtils.java:42)
